japanese,pronounce,english
お金,おかね,money
お父さん,おとうさん,father
お母さん,おかあさん,mother
こんな,こんな,"such (about something/someone close to the speaker (including the speaker), or about ideas expressed by the speaker), like this"
さあ,さあ,"come, come now"
さん,さん,"① Mr, Mrs, Miss or Ms ② honorific used with occupational titles"
そう,そう,"① so, really, seeming ② (after masu stem and adj-stem) appearing that, seeming that, looking like, having the appearance of"
そんな,そんな,"such (about the actions of the listener, or about ideas expressed or understood by the listener), like that, that sort of"
どうも,どうも,"① thanks ② much (thanks), very (sorry), quite (regret) ③ quite, really ④ somehow ⑤ no matter how hard one may try ⑥ greetings, hello, goodbye"
もう,もう,"① already, anymore ② soon, shortly ③ more, further, other, again ④ interjection used to strengthen expression of an emotion (often exasperation)"
もっと,もっと,"(some) more, even more, longer, further"
ゆっくり,ゆっくり,"slowly, at ease, restful"
アパート,アパート,"① apartment building, apartment block, apartment house ② apartment"
エレベーター,エレベーター,"elevator, lift"
カップ,カップ,cup
カメラ,カメラ,camera
カレー,カレー,curry
カレンダー,カレンダー,① calendar ② calender (machine for flattening things)
キロ,キロ,"kilo-, kilogram, kilogramme, kilometre, kilometer, 10^3"
ギター,ギター,guitar
クラス,クラス,class
グラム,グラム,"gram, gramme"
コート,コート,"① coat ② court (i.e. tennis, basketball, etc.)"
コップ,コップ,"glass (i.e. drinking vessel), tumbler"
シャツ,シャツ,"shirt, singlet"
シャワー,シャワー,shower
スカート,スカート,skirt
ストーブ,ストーブ,heater (from stove)
スプーン,スプーン,spoon
スポーツ,スポーツ,"sport, sports"
ズボン,ズボン,trousers
セーター,セーター,"sweater, jumper"
ゼロ,ゼロ,zero
タクシー,タクシー,taxi
テーブル,テーブル,table
テープ,テープ,tape
テスト,テスト,test
テレビ,テレビ,"television, TV"
デパート,デパート,department store
トイレ,トイレ,"toilet, restroom, bathroom, lavatory"
ドア,ドア,door (Western-style)
ナイフ,ナイフ,knife
ニュース,ニュース,news
ネクタイ,ネクタイ,"tie, necktie"
ノート,ノート,"① notebook, copy-book, exercise book ② note ③ notebook PC"
ハンカチ,ハンカチ,handkerchief
バス,バス,① bus ② bath ③ bass
バター,バター,butter
パーティー,パーティー,party
パン,パン,"① bread, pastries (e.g. croissants), pastry-based products ② pan, frying pan ③ panning (in a film)"
フィルム,フィルム,film
フォーク,フォーク,"① fork ② folk, folk song ③ hawk"
プール,プール,① (swimming) pool ② pool (billiards) ③ pool (together)
ベッド,ベッド,bed
ペン,ペン,pen
ホテル,ホテル,hotel
ボールペン,ボールペン,ball-point pen
ポケット,ポケット,pocket
マッチ,マッチ,"① match (contest, lighting fires. etc.) ② to match with, to go well with"
メートル,メートル,"metre, meter, meter (i.e., a gauge), gauge"
ラジオ,ラジオ,radio
レコード,レコード,① record (e.g. LP) ② record (e.g. athletics)
レストラン,レストラン,restaurant (esp. Western-style)
安い,やすい,"① cheap, inexpensive ② calm, peaceful, quiet"
一,いち,"① one ② best in, the most (...) in (where an adjective follows)"
一つ,ひとつ,"① one ② for one thing (often used in itemized lists) ③ (after a noun) only ④ (with a verb in negative form) (not) even ⑤ just (i.e. ""just try it"")"
飲む,のむ,"① to drink, to gulp, to swallow ② to smoke (tobacco) ③ to engulf, to overwhelm ④ to keep down, to suppress ⑤ to accept (e.g. demand, condition) ⑥ to make light of, to conceal"
右,みぎ,"① right, right hand side ② afore-mentioned (esp. in vertical Japanese writing), foregoing, forgoing, above"
駅,えき,station
円,えん,"① Yen, money ② circle"
下手,へた,"① unskillful, poor, awkward ② imprudent, untactful"
どうぞ,どうぞ,"① please, kindly ② by all means"
花,はな,"① flower, blossom, bloom, petal ② blooming (esp. of cherry blossoms), cherry blossom ③ ikebana ④ Japanese playing cards ⑤ beauty ⑥ (the) best"
会社,かいしゃ,"① company, corporation ② workplace"
外国,がいこく,foreign country
学校,がっこう,school
学生,がくせい,student (esp. a university student)
休み,やすみ,"① rest, recess, respite ② vacation, holiday, absence, suspension ③ dormancy (of a silkworm prior to moulting)"
休む,やすむ,"① to be absent, to take a day off ② to rest, to have a break ③ to go to bed, to (lie down to) sleep, to turn in, to retire ④ to stop doing some ongoing activity for a time, to suspend business"
空,そら,"sky, the heavens"
見せる,みせる,"to show, to display"
見る,みる,"① to see, to look, to watch, to view, to observe ② to look over, to look on, to assess, to examine, to judge ③ to look after, to keep an eye on, to take care of ④ to view (e.g. flowers, movie) ⑤ (usu. after the -te form of a verb) to try"
古い,ふるい,"old (not person), aged, ancient, antiquated, stale, threadbare, outmoded, obsolete article"
五,ご,five
五つ,いつつ,five
午後,ごご,"afternoon, p.m."
午前,ごぜん,"morning, a.m."
後ろ,うしろ,"back, behind, rear"
語,ご,① language ② word
口,くち,"① mouth ② opening, hole, gap, orifice ③ mouth (of a bottle), spout, nozzle, mouthpiece ④ gate, door, entrance, exit ⑤ speaking, speech, talk (i.e. gossip) ⑥ taste, palate ⑦ mouth (to feed) ⑧ opening (i.e. vacancy), available position ⑨ invitation, summons ⑩ kind, sort, type ⑪ opening (i.e. beginning) ⑫ counter for mouthfuls, shares (of money), and swords"
高い,たかい,"① high, tall ② expensive"
今,いま,"now, the present time, just now, soon, immediately, (one) more"
今月,こんげつ,this month
今週,こんしゅう,this week
左,ひだり,"left, left hand side"
三つ,みっつ,three
山,やま,"① mountain ② pile, heap ③ climax, critical point ④ speculated area covered by an examination"
四つ,よっつ,four
時,とき,"① time, hour ② occasion, moment"
時間,じかん,① time ② hours
耳,みみ,"① ear ② hearing ③ edge, crust ④ selvedge (non-fray machined edge of fabrics), selvage"
七,なな,seven
車,くるま,"① car, automobile, vehicle ② wheel"
