id,japanese,pronounce,english,familiar,show_cnt,last_show,score
872,祭り,まつり,"festival, feast",0,0,0,0.0
873,お祭り,おまつり,"festival, feast",0,0,0,0.0
874,向かう,むかう,① to face ② to go towards,0,0,0,0.0
875,島,とう,island (in placenames),0,0,0,0.0
876,案内,あんない,"① information, guidance, leading ② to guide, to show (around), to conduct",0,0,0,0.0
877,移る,うつる,"① to move (house), to transfer (department) ② to change the target of interest or concern ③ to elapse (passage of time) ④ to be permeated by a colour or scent ⑤ to be infected, to be contagious, to spread (as in fire)",0,0,0,0.0
878,引っ越す,ひっこす,"to move (house), to change residence",0,0,0,0.0
879,汚れる,よごれる,"① to get dirty, to become dirty ② to become sullied",0,0,0,0.0
880,億,おく,"10^8, 100,000,000, hundred million",0,0,0,0.0
881,課長,かちょう,"section manager, section chief",0,0,0,0.0
882,過ぎる,すぎる,"① to pass through, to pass by, to go beyond ② to pass (i.e. of time), to elapse ③ to have expired, to have ended, to be over ④ to exceed, to surpass, to be above ⑤ to be no more than ... ⑥ (often used after adjective stems or the -masu stems of verbs) to be excessive, to be too much, to be too ...",0,0,0,0.0
883,会議,かいぎ,"meeting, conference, session, assembly, council, convention, congress",0,0,0,0.0
884,掛ける,かける,"① to hang (e.g. picture), to hoist (e.g. sail), to raise (e.g. flag) ② to sit ③ to be partway (verb), to begin (but not complete) ④ to take (time, money), to expend (money, time, etc.) ⑤ to make (a call) ⑥ to multiply ⑦ to secure (e.g. lock) ⑧ to put on (glasses, etc.) ⑨ to cover ⑩ to burden someone ⑪ to apply (insurance) ⑫ to turn on (an engine, etc.), to set (a dial, an alarm clock, etc.) ⑬ to put an effect (spell, anaesthetic, etc.) on ⑭ to hold an emotion for (pity, hope, etc.) ⑮ to bind ⑯ to pour (or sprinkle, spray, etc.) onto ⑰ to argue (in court), to deliberate (in a meeting), to present (e.g. idea to a conference, etc.) ⑱ to increase further ⑲ to catch (in a trap, etc.) ⑳ to set atop ○ to erect (a makeshift building) ○ to hold (a play, festival, etc.) ○ (after -masu stem of verb) indicates (verb) is being directed to (someone)",0,0,0,0.0
885,割れる,われる,"① to break, to be smashed ② to split, to crack, to fissure, to be torn ③ to be divided, to cleave ④ to come to light",0,0,0,0.0
886,乾く,かわく,to get dry,0,0,0,0.0
887,慣れる,なれる,"① to grow accustomed to, to get too familiar with ② to become domesticated, to become tame",0,0,0,0.0
888,簡単,かんたん,simple,0,0,0,0.0
889,間違える,まちがえる,"① to make a mistake (in), to commit an error (e.g. in calculation) ② to confuse, to mistake something for something else",0,0,0,0.0
890,関係,かんけい,"relation, connection",0,0,0,0.0
891,危険,きけん,"① danger, peril, hazard ② dangerous, hazardous",0,0,0,0.0
892,喜ぶ,よろこぶ,"① to be delighted, to be glad, to be pleased ② to congratulate ③ to gratefully accept",0,0,0,0.0
893,寄る,よる,"to visit, to drop in, to approach",0,0,0,0.0
894,機会,きかい,"chance, opportunity",0,0,0,0.0
895,機械,きかい,"① machine, mechanism ② instrument, appliance, apparatus",0,0,0,0.0
896,祈る,いのる,"to pray, to wish",0,0,0,0.0
